Date,amount_dispensed,t_minus_1,t_minus_2,t_minus_3,t_minus_7,weekday,month,pm25,pm10
2020-12-26,120.0,300.0,940.0,0.0,0.0,5,12,32.0,
2020-12-27,60.0,120.0,300.0,940.0,60.0,6,12,31.0,
2020-12-28,120.0,60.0,120.0,300.0,160.0,0,12,39.0,
2020-12-29,0.0,120.0,60.0,120.0,140.0,1,12,53.0,
2020-12-30,300.0,0.0,120.0,60.0,0.0,2,12,23.0,
2020-12-31,1380.0,300.0,0.0,120.0,940.0,3,12,41.0,
2021-01-01,440.0,1380.0,300.0,0.0,300.0,4,1,26.0,
2021-01-02,440.0,440.0,1380.0,300.0,120.0,5,1,37.0,
2021-01-03,460.0,440.0,440.0,1380.0,60.0,6,1,15.0,
2021-01-04,840.0,460.0,440.0,440.0,120.0,0,1,19.0,
2021-01-05,220.0,840.0,460.0,440.0,0.0,1,1,18.0,
2021-01-06,280.0,220.0,840.0,460.0,300.0,2,1,15.0,
2021-01-07,920.0,280.0,220.0,840.0,1380.0,3,1,19.0,
2021-01-08,100.0,920.0,280.0,220.0,440.0,4,1,26.0,
2021-01-09,480.0,100.0,920.0,280.0,440.0,5,1,32.0,
2021-01-10,140.0,480.0,100.0,920.0,460.0,6,1,33.0,
2021-01-11,200.0,140.0,480.0,100.0,840.0,0,1,42.0,
2021-01-12,160.0,200.0,140.0,480.0,220.0,1,1,25.0,
2021-01-13,1620.0,160.0,200.0,140.0,280.0,2,1,17.0,
2021-01-14,440.0,1620.0,160.0,200.0,920.0,3,1,21.0,
2021-01-15,240.0,440.0,1620.0,160.0,100.0,4,1,38.0,
2021-01-16,660.0,240.0,440.0,1620.0,480.0,5,1,44.0,
2021-01-17,900.0,660.0,240.0,440.0,140.0,6,1,44.0,
2021-01-18,340.0,900.0,660.0,240.0,200.0,0,1,33.0,
2021-01-19,200.0,340.0,900.0,660.0,160.0,1,1,40.0,
2021-01-20,0.0,200.0,340.0,900.0,1620.0,2,1,52.0,
2021-01-21,500.0,0.0,200.0,340.0,440.0,3,1,46.0,
2021-01-22,1020.0,500.0,0.0,200.0,240.0,4,1,52.0,
2021-01-23,340.0,1020.0,500.0,0.0,660.0,5,1,57.0,
2021-01-24,500.0,340.0,1020.0,500.0,900.0,6,1,69.0,
2021-01-25,500.0,500.0,340.0,1020.0,340.0,0,1,44.0,
2021-01-26,480.0,500.0,500.0,340.0,200.0,1,1,39.0,
2021-01-27,300.0,480.0,500.0,500.0,0.0,2,1,47.0,
2021-01-28,600.0,300.0,480.0,500.0,500.0,3,1,35.0,
2021-01-29,460.0,600.0,300.0,480.0,1020.0,4,1,34.0,
2021-01-30,260.0,460.0,600.0,300.0,340.0,5,1,41.0,
2021-01-31,340.0,260.0,460.0,600.0,500.0,6,1,30.0,
2021-02-01,460.0,340.0,260.0,460.0,500.0,0,2,23.0,
2021-02-02,320.0,460.0,340.0,260.0,480.0,1,2,25.0,
2021-02-03,940.0,320.0,460.0,340.0,300.0,2,2,13.0,
2021-02-04,1680.0,940.0,320.0,460.0,600.0,3,2,19.0,
