date, pm25, pm10
2019/8/6, 59, 42
2019/8/7, 67, 48
2019/8/8, 82, 41
2019/8/9, 65, 31
2019/8/10, 60, 23
2019/8/11, 58, 8
2019/8/12, 23, 9
2019/8/13, 18, 14
2019/8/14, 26, 18
2019/8/15, 27, 19
2019/8/16, 31, 21
2019/8/17, 26, 17
2019/8/18, 23, 13
2019/8/19, 22, 23
2019/8/20, 24, 26
2019/8/21, 28, 35
2019/8/22, 33, 12
2019/8/23, 21, 19
2019/8/24, 24, 23
2019/8/25, 23, 13
2019/8/26, 18, 15
2019/8/27, 18, 26
2019/8/28, 26, 27
2019/8/29, 30, 31
2019/8/30, 31, 21
2019/8/31, 34, 12
2019/9/1, 27, 16
2019/9/2, 22, 14
2019/9/3, 18, 22
2019/9/4, 22, 27
2019/9/5, 26, 30
2019/9/6, 38, 27
2019/9/7, 35, 14
2019/9/8, 33, 18
2019/9/9, 26, 9
2019/9/10, 12, 9
2019/9/11, 14, 18
2019/9/12, 16, 19
2019/9/13, 17, 23
2019/9/14, 18, 14
2019/9/15, 19, 16
2019/9/16, 17, 8
2019/9/17, 15, 10
2019/9/18, 12, 10
2019/9/19, 16, 10
2019/9/20, 22, 10
2019/9/21, 21, 11
2019/9/22, 21, 12
2019/9/23, 16, 13
2019/9/24, 15, 20
2019/9/25, 12, 19
2019/9/26, 20, 18
2019/9/27, 19, 13
2019/9/28, 17, 4
2019/9/29, 13, 4
2019/9/30, 16, 8
2019/10/1, 18, 12
2019/4/2, 29, 38
2019/4/3, 33, 23
2019/4/4, 27, 21
2019/4/5, 16, 14
2019/4/6, 22, 11
2019/4/7, 15, 7
2019/4/8, 14, 15
2019/4/9, 18, 8
2019/4/10, 20, 17
2019/4/11, 16, 16
2019/4/12, 16, 17
2019/4/13, 25, 6
2019/4/14, 12, 6
2019/4/15, 12, 16
2019/4/16, 18, 22
2019/4/17, 24, 23
2019/4/18, 14, 20
2019/4/19, 16, 19
2019/4/20, 18, 11
2019/4/21, 21, 14
2019/4/22, 28, 24
2019/4/23, 23, 24
2019/4/24, 17, 17
2019/4/25, 14, 33
2019/4/26, 37, 23
2019/4/27, 33, 17
2019/4/28, 17, 9
2019/4/29, 20, 15
2019/4/30, 23, 24
2019/5/1, 28, 30
2019/5/2, 27, 26
2019/5/3, 26, 24
2019/5/4, 23, 26
2019/5/5, 32, 21
2019/5/6, 30, 28
2019/5/7, 26, 30
2019/5/8, 24, 22
2019/5/9, 26, 23
2019/5/10, 16, 38
2019/5/11, 30, 32
2019/5/12, 37, 30
2019/5/13, 33, 27
2019/5/14, 27, 33
2019/5/15, 29, 12
2019/5/16, 14, 15
2019/5/17, 22, 6
2019/5/18, 17, 9
2019/5/19, 16, 6
2019/5/20, 11, 12
2019/5/21, 15, 14
2019/5/22, 15, 15
2019/5/23, 17, 23
2019/5/24, 28, 19
2019/5/25, 30, 10
2019/5/26, 18, 6
2019/5/27, 12, 13
2019/5/28, 27, 16
2019/5/29, 29, 25
2019/5/30, 37, 26
2019/5/31, 42, 25
2019/6/1, 55, 26
2019/6/2, 55, 19
2019/6/3, 41, 30
2019/6/4, 18, 39
2019/6/5, 62, 26
2019/6/6, 37, 9
2019/6/7, 14, 12
2019/6/8, 13, 10
2019/6/9, 13, 9
2019/6/10, 17, 17
2019/6/11, 18, 13
2019/6/12, 21, 
2019/6/19, 20, 35
2019/6/20, 21, 13
2019/6/21, 13, 11
2019/6/22, 15, 15
2019/6/23, 20, 14
2019/6/24, 14, 16
2019/6/25, 14, 19
2019/6/26, 21, 21
2019/6/27, 25, 8
2019/6/28, 15, 11
2019/6/29, 19, 14
2019/6/30, 22, 14
2019/7/1, 28, 26
2019/1/2, 36, 33
2019/1/3, 50, 8
2019/1/4, 14, 18
2019/1/5, 16, 20
2019/1/6, 24, 6
2019/1/7, 16, 10
2019/1/8, 16, 11
2019/1/9, 28, 9
2019/1/10, 24, 13
2019/1/11, 35, 7
2019/1/12, 19, 7
2019/1/13, 24, 8
2019/1/14, 36, 10
2019/1/15, 37, 13
2019/1/16, 33, 19
2019/1/17, 29, 13
2019/1/18, 22, 15
2019/1/19, 20, 9
2019/1/20, 21, 11
2019/1/21, 27, 8
2019/1/22, 36, 7
2019/1/23, 18, 9
2019/1/24, 26, 11
2019/1/25, 45, 8
2019/1/26, 47, 10
2019/1/27, 50, 6
2019/1/28, 34, 13
2019/1/29, 44, 17
2019/1/30, 47, 13
2019/1/31, 53, 17
2019/2/1, 61, 28
2019/2/2, 73, 5
2019/2/3, 21, 5
2019/2/4, 24, 12
2019/2/5, 24, 11
2019/2/6, 26, 10
2019/2/7, 29, 15
2019/2/8, 41, 10
2019/2/9, 44, 12
2019/2/10, 29, 11
2019/2/11, 27, 12
2019/2/12, 35, 9
2019/2/13, 25, 8
2019/2/14, 34, 7
2019/2/15, 22, 7
2019/2/16, 28, 8
2019/2/17, 30, 6
2019/2/18, 26, 19
2019/2/19, 44, 20
2019/2/20, 57, 12
2019/2/21, 50, 14
2019/2/22, 45, 9
2019/2/23, 27, 10
2019/2/24, 45, 8
2019/2/25, 38, 15
2019/2/26, 26, 13
2019/2/27, 19, 10
2019/2/28, 20, 8
2019/3/1, 30, 14
2019/3/2, 49, 7
2019/3/3, 24, 9
2019/3/4, 22, 18
2019/3/5, 17, 19
2019/3/6, 15, 8
2019/3/7, 17, 8
2019/3/8, 27, 10
